url,title,product,author,votes
https://community.conga.com/s/ideadetail?id=087Ub0000000Gb3IAEfakeurltest,test,test,test,test
https://community.conga.com/s/ideadetail?id=087Ub0000000Gb3IAE,Using plus(+) sign with OFN and CSEmailMessage Parameter,Conga Composer;Conga Sign,Jorji Macatangay,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000GWDIA2,Action buttons on the cart gets misplaced after every upgrade.,"Configure, Pricing, Quoting (Conga CPQ elements, fka Apttus CPQ)",Tirthak Kothari,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000GSzIAM,Configure View link in Action column to open in same tab,Conga Grid,Caitlin Neppl,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000FzxIAE,Ability to search product with having huge amount of Component views with SOSL,"Configure, Pricing, Quoting (Conga CPQ elements, fka Apttus CPQ)",Priyanshi Agrawal(Conga),2 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000FjpIAE,Using Merge Fields with Conga Sign Write-Back Tags in a PDF Template,Conga Sign,Dan John,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000FiDIAU,Support for Multiple Template Versions in OneDrive Integration,Conga Composer,Dan John,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000Fa9IAE,X-Author Contract to pick up value from more than 1 object levels,X-Author for Contracts,Swapnil Devlekar,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000FYXIA2,'Contract Family Viewer' on Lightning App Builder,Conga CLM (fka Apttus CLM),Jesse Hoffart,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000FNFIA2,Clickable Hyperlinks in Conga Sign Documents,Conga Sign,Flownie Nunez,
https://community.conga.com/s/ideadetail?id=087Ub0000000FLdIAM,Clause page should have a breakdown by action (original vs modified vs deleted vs alternate),Conga CLM (fka Apttus CLM),Kirk Wessman,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000Gb3IAE,Using plus(+) sign with OFN and CSEmailMessage Parameter,Conga Composer;Conga Sign,Jorji Macatangay,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000GWDIA2,Action buttons on the cart gets misplaced after every upgrade.,"Configure, Pricing, Quoting (Conga CPQ elements, fka Apttus CPQ)",Tirthak Kothari,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000GSzIAM,Configure View link in Action column to open in same tab,Conga Grid,Caitlin Neppl,1 Vote
